username,userid,profile_location,created_at,text,retweet_count,source,coordinates
NaldoFrancisco (viking/viking),1397339811942473730,"Houston, TX",2023-01-22 21:06:00,@UltraDane That’s unfortunate. The criminals abuse the guns in this country. Not the folks following the law and safe practice.,0,Twitter for iPhone,
Alex F 🌈,57150180,"Houston, TX",2023-01-22 20:58:50,"‘After the mass shooting in LA, I think it’s important to remind you that it’s not guns who kill people. It’s peopl… https://t.co/XxkPiJ8FFn",0,Twitter for iPhone,
John,64606568,"Atascocita, TX",2023-01-22 20:54:40,"@jacencross @Strandjunker Your welcome. Now look at how many were committed with long guns, that is the key point.… https://t.co/1eZyxwiDx4",0,Twitter for iPhone,
Terrence Sinkler Jr,26563449,"Houston, TX",2023-01-22 20:42:39,@CoachPoston1814 Most these semi pro players are liability every loss shouldn’t have to end in a fight or guns bein… https://t.co/K4T2yCvD29,0,Twitter for iPhone,
spamswitced,936787789106106368,"Stafford, TX",2023-01-22 20:31:56,I rmb I had to bribe ole boy to not tell his friends abt his friend cuz his friend said he’ll use his guns on me 😭😭,0,Twitter for iPhone,
Ronnie,1532464806569074688,"Pasadena, TX",2023-01-22 20:29:17,"@NickAdamsinUSA Please Biden, you come in person to collect my guns.",0,Twitter for iPad,
RELL,2881526270,Houston TX,2023-01-22 19:52:51,These females be having guns in they purses fr 🤣🤣🤣🤣🤣🤣🤣,0,Twitter for iPhone,
#Banuso,160290717,"Sugar Land, TX",2023-01-22 19:41:34,@Jayokla Oga una no too do well for your house jare … na the best game of the season so far but EPL top guns don he… https://t.co/IzhqUNzC1n,0,Twitter for iPhone,
Hoppy Jalapeno,1593063393006563329,"Houston, TX ",2023-01-22 19:31:21,"@ZaneWilcott @gadams999 @JeffNeelzebubII @EdKrassen @RepAdamSchiff Why get rid of all legal guns, of course!
That w… https://t.co/KBUswLeJAW",0,Twitter Web App,
John,64606568,"Atascocita, TX",2023-01-22 19:15:07,@Strandjunker Disinformation. Look at FBI stats on the use of all long guns. Google is your friend.,0,Twitter for iPhone,
Mechelle Sharp,1157877970381561857,"Houston, TX",2023-01-22 18:42:33,"@fowler540jnr It’s not the gun laws, it’s the criminals buying guns committing crimes &amp; murder!",0,Twitter for iPhone,
Fabergé Peg,1471333984735006722,"Washington, DC",2023-01-22 18:36:14,"Types of Dating Profiles I Avoid:

1) Profiles that have pictures of Guns
2) Profiles that have pictures of America… https://t.co/c8vrJXzTme",0,Twitter for iPhone,
Debbie Russell,1598284463842238464,"Houston, TX",2023-01-22 18:24:51,First rule of guns - all guns are always loaded - never point and shoot - ever!  Unless you plan to stop… https://t.co/AHMGMo9W5Q,0,Twitter for iPhone,
wesley pipes,1186141720175665152,"Houston, TX",2023-01-22 18:23:34,I got into guns then I turned into a shootah,0,Twitter for iPhone,
Matt Hardy,575869793,"Houston, TX",2023-01-22 18:21:04,@ninaturner SUVs and trucks kill more people than guns do,0,Twitter for Android,
🇬🇩Steve Celestine@473🇬🇩,471781701,"Houston, Texas",2023-01-22 18:12:08,@KevinSixx13 Americans are scary people according to what I’ve seen…scared people run to their guns for protection.… https://t.co/oTauMm5fOq,0,Twitter for iPhone,
"𝚕𝚕𝚘𝚢𝚍 𝚓𝚊𝚌𝚘𝚋𝚜𝚘𝚗, 𝚖𝚜𝚠 👨🏻‍💻",737616924,"Houston, TX, USA",2023-01-22 18:03:33,"Here we go again. The 2nd amendment is sacred and guns should not be regulated, but politicians will regularly atta… https://t.co/eafDA5Wxyq",0,Twitter for iPhone,
DFreshinHouston,362241717,houston,2023-01-22 17:57:28,@EvanCudworth @ninaturner I am all for strict gun laws.  But... do you know anything about the number of guns comin… https://t.co/CdwsrzzzuF,0,Twitter for Android,
Naveed Akhtar,937056286763569157,"Houston, TX",2023-01-22 17:39:37,@MSNBC Guns problem in America is getting out of control.  I lean conservative but do not agree with the widespread… https://t.co/vmPUIBUuOL,0,Twitter for iPhone,
William Griffin IV,169065515,"Houston, Texas",2023-01-22 17:36:29,@cnnbrk But CA has the strictest guns laws in the US.  How did this happen??? Killing people with guns is illegal!  #2a,0,Twitter for iPhone,
Katie Mehnert,100346356,"Houston, TX",2023-01-22 17:34:37,Todays shooting is another reminder why we need sensible gun ownership laws in this country. Banning guns isn’t the… https://t.co/VvIzoB00g7,53,Twitter for iPhone,
Thieves Like Ted,1498741216523046913,"Houston, TX",2023-01-22 17:33:25,"@ccccaaakke @coinfessions I've never been rugged, but my intro to bitcoin was in like 09/10 by friends that were ge… https://t.co/Cp1GZ3lms8",0,Twitter Web App,
the munchilin man,1360814137383804928,"Houston, TX",2023-01-22 17:31:41,Why do these bots keep commenting on my stuff trying to sell me guns?,0,Twitter for iPhone,
Steevie,239836960,"Houston, TX",2023-01-22 17:27:54,@RodneyEllis @GeneforTexas owns guns https://t.co/QntabKBwNN,0,Twitter for iPhone,
Eon Musk Bullock™ ,796088416416972800,"Houston, TX",2023-01-22 17:22:24,@actingcoaching @clarkgregg It was a revolver so you can fire anything in those. But yes never should have had live… https://t.co/rotmhDTq2j,0,Twitter for iPhone,
