username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Majestic Feline,1597419296438861825,Kansas City MO,2023-01-22 21:12:56,@katiehobbs Guns don't kill people. People kill people. Try locking up violent criminals before assaulting rights.,0,Twitter Web App,
Brian W. Peterson,2902244659,Kansas City,2023-01-22 21:06:48,@SirHardHarry It's not just a US problem. Dig into the stats and you'll see the press says this despite the facts.… https://t.co/zuL6BQ0CmT,0,Twitter Web App,
Joni Lane,825946830,"Kansas City, MO",2023-01-22 20:57:56,@Raquel_MiamiBch I agree. They cannot call themselves pro-life and support the death penalty and guns guns guns.,0,Twitter for Android,
Mr. Red Eagle Trader,1584091850,"Kansas City, MO",2023-01-22 20:57:15,"@Chomusuke0916 @YoElSupremembo @merrymommy @Manxcyberman @itsJeffTiedrich Semi-automatic rifles including ""AR-15s""… https://t.co/JzCQGhvhGm",0,Twitter for Android,
Mr. Red Eagle Trader,1584091850,"Kansas City, MO",2023-01-22 20:49:33,@Chomusuke0916 @YoElSupremembo @merrymommy @Manxcyberman @itsJeffTiedrich If the US could magically ban &amp; destroy a… https://t.co/7pN0uL4AIH,0,Twitter for Android,
OSU1984,1334852045636046849,"Shawnee, KS",2023-01-22 20:44:39,@ninaturner Tell me you know absolutely nothing about guns without telling me you are anti 2nd amendment,0,Twitter for iPhone,
Mr. Red Eagle Trader,1584091850,"Kansas City, MO",2023-01-22 20:32:40,@chmorley @thanksbutno___ @Manxcyberman @itsJeffTiedrich Cartels that already buy chemicals from Asia could also bu… https://t.co/WCkejPPjC6,0,Twitter for Android,
Mr. Red Eagle Trader,1584091850,"Kansas City, MO",2023-01-22 20:21:08,"@Chomusuke0916 @YoElSupremembo @merrymommy @Manxcyberman @itsJeffTiedrich Sure, but why stop in Mexico?  Drugs smug… https://t.co/uDsvRybuff",0,Twitter for Android,
Stewart,1266927285149499392,"Overland Park, KS",2023-01-22 19:25:29,"@itsJeffTiedrich Yeah, a law will stop this, just like it does drug use. Guns are a part of American culture and 99… https://t.co/HmxXAYQUPz",0,Twitter for iPhone,
🏳️‍🌈bri🏳️‍🌈,2167677079,"Kansas City, MO",2023-01-22 19:21:50,"@randomlyjme It's exhausting. But, guns aren't the problem. 🙄",0,Twitter Web App,
