username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Rona Edwards ☮️,36148769,"Hollywood, CA",2023-01-22 21:09:03,"This is priceless if it wasn’t so tragic.  Just another day in America, another mass shooting and all Cancun Cruz c… https://t.co/UJ2FxXhXpZ",0,Twitter for iPhone,
Anon E. Muss,47869198,Los Angeles,2023-01-22 21:08:26,@RealMattCouch Just don't stand in FRONT of him when his company is producing a film with guns.,0,Twitter for Android,
Steve Smith,1496647202432708610,"Long Beach, CA",2023-01-22 21:05:13,"@piyushmittal Democrats have guns too, tho",0,Twitter Web App,
Rey P. 🇺🇸,100838860,"Los Angeles, Ca. USA",2023-01-22 21:05:05,@WajahatAli Any type of guns shouldn't be in the hands of disgruntled/l7natic individuals.,0,Twitter for Android,
rainforestLA,614515701,"Beverly Hills, CA",2023-01-22 21:04:08,@huntergray I feel much safer at home with my guns to protect my family. Relying on police isn't realistic. And cri… https://t.co/CZQhWIpmoo,0,Twitter for Android,
Alien Jane Doe,881607283377020928,"Los Angeles, CA",2023-01-22 21:02:34,Ban these guns https://t.co/G0no1B7oFi,0,Twitter for iPhone,
jim herzfeld,432058253,"Pasadena, CA",2023-01-22 21:01:40,@ToddHastie @LACoSheriff Guess this underscores our nation's dumbass gun culture &amp; ridiculously flawed and antiquat… https://t.co/D5Ej80LoBj,0,Twitter Web App,
olivia something🥀,178532985,LA,2023-01-22 21:00:37,i see so we are willing to ban flavored tobacco products for adults because kids could possibly get their hands on them but guns,0,Twitter Web App,
Ignorance is Blitzed. 🇺🇸 🇺🇦,15128818,"Los Angeles, CA",2023-01-22 21:00:07,"@SeaPapi42 @realmigucain @krhutchings No, guns are not the issue.

People with guns are the issue.",0,Twitter for iPhone,
Brian Monarch,33747364,"Sherman Oaks, Los Angeles",2023-01-22 20:55:00,"@JohnEDeaton1 Not to be selfish… But if XRP can get some first, I’ll be quite happy.  Ain’t that right crazy… https://t.co/FvrzyL20hS",1,Twitter for iPhone,
Shawn,1177181061173956609,"Disneyland, USA",2023-01-22 20:53:55,"Well, today is #NationalPolkaDotDay &amp; because of conservative America's devotion to #gunviolence, 20+ victims in… https://t.co/9zWbPhXN6V",0,Twitter for Android,
Gorda Ramsay,2900258775,Duarte CA,2023-01-22 20:53:29,Went to the replies for someone to laugh w about that haircut. But alas y’all very serious about guns💀 https://t.co/kP9snecjcd,0,Twitter for iPhone,
ced 🤙🏾,15676028,"Los Angeles, CA",2023-01-22 20:53:05,@WealthInc247 Easy. Guns. Very rarely does anything come from guns other than unnecessary death.,0,Twitter for iPhone,
The Real Jay Stone 2.0,1219325273763540992,"San Fernando, CA",2023-01-22 20:52:31,"@FabiEcuAndra @SusanLordBiz @itsJeffTiedrich Guns can’t move by itself, genius",0,Twitter for iPhone,
Dalia Jaramillo,826380782,"Los Angeles, California ",2023-01-22 20:50:05,@DarrigoMelanie @cooltxchick And regular tests to make sure they’re up on laws &amp; safety practices.  Every truck dri… https://t.co/0pR7f1bLTE,0,Twitter for iPhone,
William Hurst,23335746,"Canoga Park, CA",2023-01-22 20:49:20,"@Strandjunker Lol.  Miss shootings dropped because Biden and Clinton put 100,000 cops on the streets and enacted 3… https://t.co/9rDuYzJI0d",0,Twitter for iPhone,
Acuna Matata 🇺🇸,351766315,"Yorba Linda, CA",2023-01-22 20:44:50,@jm6string Even some democrats won’t give up guns. This won’t change,0,Twitter for iPhone,
Andrvtti Baby,1297956079687438336,Los Angeles,2023-01-22 20:44:33,"Land, grab two guns and ape something. Fuck loot. Fuck if you don’t like the gun you have. All you need is enough a… https://t.co/qtnnyEH1GO",0,Twitter for iPhone,
Malcolm P. Johnson,14731096,"Glendale, California",2023-01-22 20:44:31,This Mass Shooting was created by a MINORITY of Americans who own a MAJORITY of America's guns.,2,Twitter Web App,
#CaliBernication,43414431,Los Angeles,2023-01-22 20:42:45,@SenSanders Only in America does this happen.  With the psychotic GOP and their love of Guns because they are reall… https://t.co/h8vhMamPkZ,0,Twitter Web App,
R. Scott Okamoto,48543052,"Pasadena, CA",2023-01-22 20:41:41,Guns. Toxic masculinity. White supremacy. They all lead to the same  intersection.,1,Twitter for iPhone,
Erin Gallagher,43718531,"Los Angeles, CA",2023-01-22 20:40:43,Our lives are all forfeit to white supremacy and the tools for upholding it: guns and cops. It doesn’t matter if th… https://t.co/aTf0i988Fm,0,Twitter for iPhone,
Abby Gewanter,785852900660486144,"Los Angeles, CA",2023-01-22 20:39:42,"So many broken hearts.
So many thoughts. 
So many prayers.
Fuck off. 
Ban the guns. 
#GunControlNow #ItsTheGuns",0,Twitter Web App,
Farid X,327579878,Los Angeles,2023-01-22 20:39:28,"@FightGOPers @CorneliaGeppert You claim you fight the GOP, but can’t even handle a debate on guns😂😂.  Literally, th… https://t.co/3h91xaFEAk",0,Twitter for iPhone,
Doug Carstens,1324623035920338945,"Torrance, CA",2023-01-22 20:38:30,@LASmogGuy Sad for all victims in Monterey Park. I drive through the Sepulveda/Hawthorne intersection in Torrance l… https://t.co/mCyqlKQxWo,0,Twitter Web App,
Julie D.,741296075001077764,"Calabasas, CA",2023-01-22 20:36:49,@tedcruz @benfergusonshow That’s just a Bullshit lie. All Dems want is reasonable gun control. No one has ever said… https://t.co/cqJNpK5Qh4,0,Twitter for iPhone,
Redux,1490775524750155778,Los Angeles CA,2023-01-22 20:35:50,@FreethinkerInCA @HuffPost We have too many guns and and incels...,0,Twitter Web App,
Sees in the Dark 🇺🇦,43312680,"Los Angeles, CA",2023-01-22 20:30:45,I find that being magnetic has completely eliminated the need for Concealed-Carry holsters - My guns just stick to… https://t.co/GAjNIKMJ65,0,Twitter for Android,
FISHE,1445131440195133446,"Los Angeles, CA",2023-01-22 20:29:33,"@WealthInc247 Fascism, hunger, guns… that’s it.. the rest of the bad shit we will have to sort out like capitalism and drug abuse.",0,Twitter for iPhone,
Alhambra Unified,4444234397,"Alhambra, CA",2023-01-22 20:28:40,"Superintendent Jaramillo guidelines for parents:  “For children over age 12, talk about the issues in our larger so… https://t.co/cuLYOu2Tft",1,Twitter for iPhone,
Jim A in L.A.,18343484,Los Angeles,2023-01-22 20:28:36,@EricJimerson @curtisspicoli9 @RepSwalwell Or did you want me to super highlight that the state in our nation with… https://t.co/3Lp8VzKilh,0,Twitter for iPhone,
Acuna Matata 🇺🇸,351766315,"Yorba Linda, CA",2023-01-22 20:28:21,@RealSkipBayless Your hair is not blonde. Do you get beauty treatments in soft Texas? You gave guns but can’t fist fight,0,Twitter for iPhone,
Farid X,327579878,Los Angeles,2023-01-22 20:27:19,"@FightGOPers @CorneliaGeppert We are not talking deaths, we are talking homicides.  Look at their homicide numbers.… https://t.co/b7aelBFhZw",0,Twitter for iPhone,
Jason Honeycutt,549850964,Los Angeles,2023-01-22 20:27:02,"@docriv73 @TheAKGuy @davidhogg111 Be prepared... for maniacs with guns? Nice logic, having shoot outs like the Wild… https://t.co/jx3T7d6arX",0,Twitter for Android,
Tim Phan,37806465,los angeles / orange county,2023-01-22 20:26:38,"I did not expect to spend my first day of the Lunar New Year reflecting about toxic masculinity, racial violence ag… https://t.co/egDYwjqDvC",7,Twitter Web App,
Theodore Chao 趙伯立 (he/him/his),3210915239,"Los Angeles, CA",2023-01-22 20:26:10,"My heart hurts with #MontereyPark today, the first day of the Year of the Rabbit/Cat. Asian Americans know gun viol… https://t.co/8I4nJqTfkV",0,Twitter for iPhone,
Anonymous,1591630930396868609,"Los Angeles, CA",2023-01-22 20:25:14,"Hey pro-life GOP, let us know when Planned Parenthood using abortion kill people at parades, stores, schools etc &amp; not guns.  #MassShooting",0,Twitter for iPhone,
Jamil Smith جميل كريم,46213956,"Los Angeles, CA",2023-01-22 20:24:38,The mass shooting occurred during a Lunar New Year celebration in an iconic city in the history of Asian immigratio… https://t.co/vGvotLfLUH,7,Twitter for Mac,
Redux,1490775524750155778,Los Angeles CA,2023-01-22 20:24:28,@FreethinkerInCA @HuffPost I never said ban all guns.. NO ONE NEEDS AN AR... If you have one it should be kept at a… https://t.co/zQA021jPZw,0,Twitter Web App,
Acuna Matata 🇺🇸,351766315,"Yorba Linda, CA",2023-01-22 20:22:58,@KLind62526 We need to ban all guns!! But I am a liberal. I like knives better,0,Twitter for iPhone,
𝕂𝕃𝔽🫶 𝕄𝕒𝕞𝕒 𝕥𝕠 𝕓𝕖 ~ 𝔹𝕠𝕪 𝕞𝕠𝕞 x1🧸💙,703385235107532800,Ontario,2023-01-22 20:20:55,"@KimisWorld666 👏👏

I can't believe she actually has ppl feeling bad for her. Like, no, you wanna feel bad for someo… https://t.co/kfghqyHr3e",0,Twitter for Android,
Your Host,17913924,NY/LA,2023-01-22 20:19:11,Guns do kill people.,0,Twitter for Android,
Jawn J.Period,1021382089059590144,"Los Angeles, CA",2023-01-22 20:18:20,"Just learning about the mass shooting in Monterey Park during Lunar New Year celebrations, 30 mins from us. Sickeni… https://t.co/eTqDuWM7P3",7,Twitter for iPhone,
Nonya Bidness,168873074,"Los Angeles, CA",2023-01-22 20:16:59,"@MWash90 @GavinNewsom The MAGA crowd advocates everyone being armed to the teeth with guns of war, regardless of th… https://t.co/gcna15NxFG",0,Twitter for iPhone,
poopi scoopi,1598814490614648835,"Los Angeles, CA",2023-01-22 20:13:21,@EGonzo_28 @LACoScanner Oh yeah bc that totally keeps guns off of gang bangers and criminals,0,Twitter for Android,
Jason T. Gaffney,51498309,LA,2023-01-22 20:11:35,So you agree. We have a crisis in the country involving guns. Maybe instead of offering useless “thoughts and praye… https://t.co/MprKPlk8AH,0,Twitter for iPhone,
JeffreyJamesLippold,59645190,"Hollywood,CA",2023-01-22 20:10:53,@candidam91 @PressSec @WHCOS You can find far more weapons on the illegal weapons market.  The mexican cartel will… https://t.co/uiRpk41BmP,0,Twitter for iPhone,
Julian Scaff,988122893987889152,"Pasadena, CA",2023-01-22 20:09:55,Guns have no place in a civil society.,0,Twitter for iPad,
Brendan Hay,101885355,"Los Angeles, CA",2023-01-22 20:09:41,"@IwinskiTyler @bishella @angryasianman Look, I can argue semantics and make cases to you all day, but I’m getting t… https://t.co/o82qvNYoSZ",0,Twitter for iPhone,
Robin Markowitz 🇺🇦🌻,454407505,"Westminster, CA",2023-01-22 20:03:44,"@davidhogg111 I don't live so far. People say ""go out, have some fun, go places."" And every place is a combat zone.… https://t.co/4zlfXP57Qo",0,Twitter for Android,
CAT-CAT,24668796,"Los Angeles, CA",2023-01-22 20:00:43,"Honestly seeing this happen and then slowly develop in the last hours of Lunar New Years Eve, into the New Year was… https://t.co/BxP3cXEPWR",0,Twitter for iPhone,
CombatJedi,923355782422282240,"Los Angeles, CA",2023-01-22 20:00:08,@RBReich All guns have a safety.,0,Twitter for iPhone,
Candlestick Will,851832174,"Agoura Hills, CA",2023-01-22 19:59:34,"#StopAsianHate 

Access to guns is the biggest problem but the media also need to stop feeding these hateful lies t… https://t.co/NjrA4Von7C",0,Twitter for iPhone,
Dog the Bounty Quicker-Picker-Upper,1230671510165020673,"Los Angeles, CA",2023-01-22 19:58:41,"@tedcruz @benfergusonshow According to the fear-mongering republicans, democrats have been taking away our guns sin… https://t.co/BgSZpoEMZ7",0,Twitter for Android,
Brendan Hay,101885355,"Los Angeles, CA",2023-01-22 19:57:45,@IwinskiTyler @bishella @angryasianman Why would I be against funding police to destroy guns? I’m for that. Less so… https://t.co/ZMrJs59VVE,0,Twitter for iPhone,
SovrumanoBRAT,1449920873893273601,"Los Angeles, CA",2023-01-22 19:57:22,"himself and his crew armed to the teeth and newborns deputized instead of baptized (In Guns We Trust), building bac… https://t.co/fYyNATdggq",0,Twitter for Android,
Jorge Suarez,1483578703,"Los Angeles, CA",2023-01-22 19:56:30,"@IwinskiTyler @Victorshi2020 Fox News talking point, Fox News talking point, gun shows, I said raise the minimum ag… https://t.co/vUS5HqZQVK",0,Twitter for iPhone,
Official Biden Moderate 🇽,874122678,"Los Angeles, CA",2023-01-22 19:56:24,"@ninaturner My family was excited to celebrate Tet in the OC, but we cancelled our plans. CA has good gun control l… https://t.co/Hg2CLRYltv",0,Twitter Web App,
Farid X,327579878,Los Angeles,2023-01-22 19:56:04,"@danidanibobani1 @CorneliaGeppert @AP I never said don’t have any punishment for violating laws, just that banning… https://t.co/aMmNdaKJsD",0,Twitter for iPhone,
Stephen Martin,29769117,"Santa Monica, CA. ",2023-01-22 19:55:25,@davidhogg111 When nothing changes....nothing changes. We can have another mass shooting far worse any minute now.… https://t.co/TXQ4Y3qdUZ,0,Twitter Web App,
Brendan Hay,101885355,"Los Angeles, CA",2023-01-22 19:54:12,@IwinskiTyler @bishella @angryasianman Offer buyback programs. Strengthen background checks. Destroy guns that are… https://t.co/CrbDvFYwe4,0,Twitter for iPhone,
Erin Lampart,234691721,Los Angeles,2023-01-22 19:54:07,A shooting in a dance studio 10 mi from home feels way too close. Every time it gets closer. Fuck your guns.,0,Twitter for iPhone,
Splash ENT,1471144389174915072,"North Hollywood, Los Angeles",2023-01-22 19:50:40,Guns n butter,0,Twitter for iPhone,
Jorge Suarez,1483578703,"Los Angeles, CA",2023-01-22 19:48:22,"@Wisco_Wolverine @Victorshi2020 Yeah, a culture where you can easily drive to Republican states and bring back all… https://t.co/smnZq6wlAK",0,Twitter for iPhone,
Brendan Hay,101885355,"Los Angeles, CA",2023-01-22 19:48:00,@IwinskiTyler @bishella @angryasianman Reducing the volume of guns does not equal getting rid of all guns. It’s right there in the words.,0,Twitter for iPhone,
julianne phillips,1548035998860201987,"Malibu, CA",2023-01-22 19:47:40,@RMGaustad @Scrivener1A @nytimes True! It’s so insane! I don’t know how you can plan more value on the almighty $ a… https://t.co/cNytKdRBzP,0,Twitter for iPhone,
OttawaDad,1004749761918963713,Ontario,2023-01-22 19:44:17,@HeyBuckHey @GOP They don’t even want guns.  They want gun money.,0,Twitter for iPad,
Kian Goh,23036228,"Los Angeles, CA",2023-01-22 19:43:52,Shattered to hear about the mass shooting and deaths in Monterey Park during Lunar New Year celebrations. Guns are… https://t.co/sZeGMViiTM,0,Twitter for iPhone,
Claire Valentine,1920034303,Los Angeles,2023-01-22 19:42:28,"#WarLocketteBand
Listen to My Guns Are Glamorized ft. CreamyJ by War+Lock+Ette on #SoundCloud
https://t.co/W9fU2tpXmU",0,Twitter for Android,
Cali Miles,16703943,"Los Angeles, CA",2023-01-22 19:42:01,Absolutely devastated to hear of the mass shooting in Monterey Park yesterday after a Lunar New Year celebration. M… https://t.co/yVneByMqwx,0,Twitter for iPhone,
"Ew, David",16588433,"Long Beach, CA",2023-01-22 19:40:05,It's the guns https://t.co/pFlHMuIRsB,0,Twitter for Android,
8💭,4352696112,El Monte,2023-01-22 19:37:01,Hoping one day our government realizes that guns aren’t the solution https://t.co/VxvTPP4Fu2,0,Twitter for iPhone,
Vin Nuclear,1586489368633409537,"Beverly Hills, CA",2023-01-22 19:34:36,@gmh8899 @RepAdamSchiff Killers will find a way to kill. It is the hard fact that is historical long before guns. Y… https://t.co/pxtn4RJvbx,0,Twitter for iPhone,
Brian O'Sullivan,19558732,"SF/LA, CA",2023-01-22 19:34:30,"@HollywoodDan Disagree with all my heart. There is mental illness/ill intentions in every country, but only we have… https://t.co/JaGdL8AfIA",0,Twitter Web App,
Nico🌚🌙🔮,704326202,"Los Angeles, CA",2023-01-22 19:33:51,@KBassProgReport I said AMERICA has a gun violence problem. There are many factors that cause this. One of the main… https://t.co/sz486Sx6tA,0,Twitter for iPhone,
LOLLY💫💜,117873797,Cuddling my cat,2023-01-22 19:33:16,"If you don’t make finger guns at yourself when you look in the mirror, did you really look in the mirror?",0,Twitter for iPhone,
Brendan Hay,101885355,"Los Angeles, CA",2023-01-22 19:32:32,@IwinskiTyler @bishella @angryasianman But we’re not talking about most homicides or Chicago’s crime stats. We’re t… https://t.co/yhxg4o7cy4,0,Twitter for iPhone,
Immigration Attorney,1037882577799925760,"Los Angeles, CA",2023-01-22 19:31:55,@RamsNFL The gun didn't shoot itself. Instead of blaming guns blame the criminal. Would you blame McDonald's for he… https://t.co/xK0y3L2gym,0,Twitter for Android,
Emily Barth Isler,426050682,"Los Angeles, CA",2023-01-22 19:30:41,"That, once again, #guns have made hate deadly, that weapons intended for “war,” for the kinds of horrors we shouldn… https://t.co/BmDY7c1QoJ",0,Twitter for iPhone,
The ULTRA Craftsman 🇺🇸🔨☢️,1088333272487100417,"Los Angeles, CA",2023-01-22 19:22:24,"@marklevinshow And hate guns tv 

They will ignore the domestic terrorism in Atlanta to politicize the Monterey sho… https://t.co/yATNsI4j2e",0,Twitter for iPhone,
Richard Tatum,266782844,Los Angeles,2023-01-22 19:19:49,"Years ago some NeoCon defended guns to me saying ""Anything could be a weapon, including toasters. Going to outlaw t… https://t.co/1S5NMmc0tr",2,Twitter for Android,
Mikey McKernan,174105648,"Los Angeles, CA",2023-01-22 19:18:19,Puns not guns.,0,Twitter for iPhone,
Simrat Thapar,1604507413830201344,"Pasadena, CA",2023-01-22 19:17:52,"Guns don't kill people, people kill people is a tired excuse for not taking action on gun control. Let's invest in… https://t.co/Wr60SgSMcl",0,Twitter for Android,
seurte.com,904796916520689664,"Marina del Rey, CA",2023-01-22 19:17:31,@GavinNewsom What if everyone inside had not been prevented from having self protection.  Only an idiot would want… https://t.co/O8LoA7yY33,0,Twitter Web App,
Robert T BEd RSE,1490855554616598532,Ontario ,2023-01-22 19:14:52,@droid1963 No they continue to use illegal guns as they do today…nothing changes just legal guns are gone,0,Twitter Web App,
seurte.com,904796916520689664,"Marina del Rey, CA",2023-01-22 19:13:48,@GavinNewsom Victims of criminals not guns. That's like me wanting to outlaw your voice because you say and do so m… https://t.co/nUkgaPW6Qi,0,Twitter Web App,
TONALI*,1158495768317005824,"Los Angeles, CA",2023-01-22 19:13:09,"@IdyllAtlas @aleshadalin @LopezResists Guns
Over
People",1,Twitter for Android,
Malakite Green,1069976314919051268,"Culver City, CA",2023-01-22 19:12:40,@JFMac1975 @davidhogg111 Maybe we should ban whites from owning guns. https://t.co/3jySmH1vFV,0,Twitter for iPhone,
Jane Benyo Petty,1484938093211750403,,2023-01-22 19:10:22,We can't wait we are all targets our majority must join groups like Gifford moms demand etc democratic states need… https://t.co/MO7D8E1JDi,0,Twitter for iPhone,
IT IS GREAT TO BE ALIVE!,23711726,Malibu Ca,2023-01-22 19:08:37,I am sick of guns! That’s the tweet,1,Twitter for iPhone,
Ariana Sigel,39054595,"Los Angeles, CA",2023-01-22 19:08:22,Get rid of the guns already. Heart is broken today.,0,Twitter for iPhone,
Clare Loughran 🫧,260896384,"Los Angeles, CA",2023-01-22 19:06:05,"Once again, I am saying ban all guns. I don’t care what you’re using them for.",0,Twitter for iPhone,
Macklen Makhloghi,24776280,Los Angeles,2023-01-22 19:05:17,"I'm sick of the phrase ""senseless violence"" when describing mass shootings.
In a country that fetishizes guns, igno… https://t.co/nniI4szlOE",0,Twitter for Android,
steven with a blue thingy,1357081236527751171,"Long Beach, CA",2023-01-22 19:04:24,@SanteenaR Now they’ll talk about our strong gun laws and criticize it. Guns are the problem,0,Twitter for iPhone,
Michael Barkulis 🇺🇸🍊,140390268,Los Angeles CA,2023-01-22 19:03:55,@krassenstein @EdKrassen You are aware that taking guns away from law abiding citizens doesn’t stop mass shooters.. right?,0,Twitter for iPhone,
The Real Aram,15845268,Los Angeles,2023-01-22 19:03:19,@davidhogg111 guns are more powerful than our government,0,Twitter Web App,
Alicia Hollinger 💙🌊,16415534,"Los Angeles, CA",2023-01-22 18:59:16,@wing_walker747 @krassenstein You’re right. We need to build a wall around California so the crazies from red state… https://t.co/IKRZ66fNQY,0,Twitter for iPad,
